***	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
.....	名詞,サ変接続,*,*,*,*,*
....．	名詞,サ変接続,*,*,*,*,*
001	名詞,数,*,*,*,*,*
002	名詞,数,*,*,*,*,*
004	名詞,数,*,*,*,*,*
005	名詞,数,*,*,*,*,*
006	名詞,数,*,*,*,*,*
007	名詞,数,*,*,*,*,*
008	名詞,数,*,*,*,*,*
010	名詞,数,*,*,*,*,*
011	名詞,数,*,*,*,*,*
012	名詞,数,*,*,*,*,*
013	名詞,数,*,*,*,*,*
014	名詞,数,*,*,*,*,*
015	名詞,数,*,*,*,*,*
016	名詞,数,*,*,*,*,*
017	名詞,数,*,*,*,*,*
018	名詞,数,*,*,*,*,*
019	名詞,数,*,*,*,*,*
020	名詞,数,*,*,*,*,*
021	名詞,数,*,*,*,*,*
022	名詞,数,*,*,*,*,*
023	名詞,数,*,*,*,*,*
024	名詞,数,*,*,*,*,*
025	名詞,数,*,*,*,*,*
026	名詞,数,*,*,*,*,*
027	名詞,数,*,*,*,*,*
029	名詞,数,*,*,*,*,*
030	名詞,数,*,*,*,*,*
031	名詞,数,*,*,*,*,*
032	名詞,数,*,*,*,*,*
033	名詞,数,*,*,*,*,*
034	名詞,数,*,*,*,*,*
035	名詞,数,*,*,*,*,*
036	名詞,数,*,*,*,*,*
037	名詞,数,*,*,*,*,*
039	名詞,数,*,*,*,*,*
041	名詞,数,*,*,*,*,*
044	名詞,数,*,*,*,*,*
045	名詞,数,*,*,*,*,*
046	名詞,数,*,*,*,*,*
047	名詞,数,*,*,*,*,*
048	名詞,数,*,*,*,*,*
049	名詞,数,*,*,*,*,*
049１	名詞,数,*,*,*,*,*
050	名詞,数,*,*,*,*,*
051	名詞,数,*,*,*,*,*
052	名詞,数,*,*,*,*,*
053	名詞,数,*,*,*,*,*
054	名詞,数,*,*,*,*,*
056	名詞,数,*,*,*,*,*
057	名詞,数,*,*,*,*,*
058	名詞,数,*,*,*,*,*
060	名詞,数,*,*,*,*,*
063	名詞,数,*,*,*,*,*
064	名詞,数,*,*,*,*,*
065	名詞,数,*,*,*,*,*
067	名詞,数,*,*,*,*,*
069	名詞,数,*,*,*,*,*
071	名詞,数,*,*,*,*,*
073	名詞,数,*,*,*,*,*
074	名詞,数,*,*,*,*,*
075	名詞,数,*,*,*,*,*
076	名詞,数,*,*,*,*,*
077	名詞,数,*,*,*,*,*
078	名詞,数,*,*,*,*,*
081	名詞,数,*,*,*,*,*
082	名詞,数,*,*,*,*,*
085	名詞,数,*,*,*,*,*
086	名詞,数,*,*,*,*,*
087	名詞,数,*,*,*,*,*
088	名詞,数,*,*,*,*,*
089	名詞,数,*,*,*,*,*
090	名詞,数,*,*,*,*,*
091	名詞,数,*,*,*,*,*
092	名詞,数,*,*,*,*,*
093	名詞,数,*,*,*,*,*
094	名詞,数,*,*,*,*,*
096	名詞,数,*,*,*,*,*
098	名詞,数,*,*,*,*,*
10	名詞,数,*,*,*,*,*
101	名詞,数,*,*,*,*,*
102	名詞,数,*,*,*,*,*
103	名詞,数,*,*,*,*,*
104	名詞,数,*,*,*,*,*
106	名詞,数,*,*,*,*,*
107	名詞,数,*,*,*,*,*
109	名詞,数,*,*,*,*,*
11	名詞,数,*,*,*,*,*
110	名詞,数,*,*,*,*,*
111	名詞,数,*,*,*,*,*
113	名詞,数,*,*,*,*,*
114	名詞,数,*,*,*,*,*
117	名詞,数,*,*,*,*,*
118	名詞,数,*,*,*,*,*
12	名詞,数,*,*,*,*,*
120	名詞,数,*,*,*,*,*
121	名詞,数,*,*,*,*,*
122	名詞,数,*,*,*,*,*
123	名詞,数,*,*,*,*,*
124	名詞,数,*,*,*,*,*
126	名詞,数,*,*,*,*,*
127	名詞,数,*,*,*,*,*
128	名詞,数,*,*,*,*,*
129	名詞,数,*,*,*,*,*
13	名詞,数,*,*,*,*,*
130	名詞,数,*,*,*,*,*
131	名詞,数,*,*,*,*,*
132	名詞,数,*,*,*,*,*
133	名詞,数,*,*,*,*,*
136	名詞,数,*,*,*,*,*
137	名詞,数,*,*,*,*,*
138	名詞,数,*,*,*,*,*
139	名詞,数,*,*,*,*,*
141	名詞,数,*,*,*,*,*
142	名詞,数,*,*,*,*,*
143	名詞,数,*,*,*,*,*
144	名詞,数,*,*,*,*,*
147	名詞,数,*,*,*,*,*
148	名詞,数,*,*,*,*,*
149	名詞,数,*,*,*,*,*
150	名詞,数,*,*,*,*,*
151	名詞,数,*,*,*,*,*
152	名詞,数,*,*,*,*,*
153	名詞,数,*,*,*,*,*
154	名詞,数,*,*,*,*,*
155	名詞,数,*,*,*,*,*
156	名詞,数,*,*,*,*,*
158	名詞,数,*,*,*,*,*
159	名詞,数,*,*,*,*,*
161	名詞,数,*,*,*,*,*
162	名詞,数,*,*,*,*,*
20	名詞,数,*,*,*,*,*
24	名詞,数,*,*,*,*,*
30	名詞,数,*,*,*,*,*
40	名詞,数,*,*,*,*,*
70	名詞,数,*,*,*,*,*
90	名詞,数,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
D	名詞,一般,*,*,*,*,*
F	名詞,一般,*,*,*,*,*
F	名詞,固有名詞,組織,*,*,*,*
I	名詞,固有名詞,組織,*,*,*,*
M	名詞,一般,*,*,*,*,*
M	名詞,固有名詞,組織,*,*,*,*
X	名詞,固有名詞,組織,*,*,*,*
in	名詞,固有名詞,組織,*,*,*,*
×	記号,一般,*,*,*,*,×,カケル,カケル
、	名詞,数,*,*,*,*,、,、,、
・	名詞,数,*,*,*,*,・,・,・
二	名詞,数,*,*,*,*,二,ニ,ニ
五	名詞,数,*,*,*,*,五,ゴ,ゴ
，	名詞,数,*,*,*,*,，,，,，
．	名詞,数,*,*,*,*,．,．,．
２	名詞,数,*,*,*,*,２,ニ,ニ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
一	名詞,数,*,*,*,*,一,イチ,イチ
七	名詞,数,*,*,*,*,七,ナナ,ナナ
万	名詞,数,*,*,*,*,万,マン,マン
三	名詞,数,*,*,*,*,三,サン,サン
何	名詞,数,*,*,*,*,何,ナン,ナン
億	名詞,数,*,*,*,*,億,オク,オク
八	名詞,数,*,*,*,*,八,ハチ,ハチ
六	名詞,数,*,*,*,*,六,ロク,ロク
千	名詞,数,*,*,*,*,千,セン,セン
半	名詞,数,*,*,*,*,半,ハン,ハン
四	名詞,数,*,*,*,*,四,ヨン,ヨン
幾	名詞,数,*,*,*,*,幾,イク,イク
数	名詞,数,*,*,*,*,数,スウ,スー
零	名詞,数,*,*,*,*,零,レイ,レイ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
１	名詞,数,*,*,*,*,１,イチ,イチ
３	名詞,数,*,*,*,*,３,サン,サン
４	名詞,数,*,*,*,*,４,ヨン,ヨン
６	名詞,数,*,*,*,*,６,ロク,ロク
７	名詞,数,*,*,*,*,７,ナナ,ナナ
８	名詞,数,*,*,*,*,８,ハチ,ハチ
九	名詞,数,*,*,*,*,九,キュウ,キュー
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク
９	名詞,数,*,*,*,*,９,キュウ,キュー
ぃ	名詞,一般,*,*,*,*,*
ぇ	名詞,一般,*,*,*,*,*
ぉ	名詞,一般,*,*,*,*,*
ぎ	名詞,一般,*,*,*,*,*
ぐ	名詞,一般,*,*,*,*,*
ざ	名詞,一般,*,*,*,*,*
ぱ	名詞,一般,*,*,*,*,*
び	名詞,一般,*,*,*,*,*
ぴ	名詞,一般,*,*,*,*,*
ぷ	名詞,一般,*,*,*,*,*
ぺ	名詞,一般,*,*,*,*,*
む	名詞,一般,*,*,*,*,*
ゃ	名詞,一般,*,*,*,*,*
ゅ	名詞,一般,*,*,*,*,*
ょ	名詞,一般,*,*,*,*,*
ア	名詞,一般,*,*,*,*,*
イ	名詞,一般,*,*,*,*,*
ウ	名詞,一般,*,*,*,*,*
エ	名詞,一般,*,*,*,*,*
オ	名詞,一般,*,*,*,*,*
カ	名詞,一般,*,*,*,*,*
キ	名詞,一般,*,*,*,*,*
ク	名詞,一般,*,*,*,*,*
グ	名詞,一般,*,*,*,*,*
ケ	名詞,一般,*,*,*,*,*
ゲ	名詞,一般,*,*,*,*,*
コ	名詞,一般,*,*,*,*,*
サ	名詞,一般,*,*,*,*,*
ザ	名詞,一般,*,*,*,*,*
ジ	名詞,一般,*,*,*,*,*
ス	名詞,一般,*,*,*,*,*
ズ	名詞,一般,*,*,*,*,*
タ	名詞,一般,*,*,*,*,*
ダ	名詞,一般,*,*,*,*,*
チ	名詞,一般,*,*,*,*,*
テ	名詞,一般,*,*,*,*,*
ト	名詞,一般,*,*,*,*,*
ニ	名詞,一般,*,*,*,*,*
ネ	名詞,一般,*,*,*,*,*
ハ	名詞,一般,*,*,*,*,*
バ	名詞,一般,*,*,*,*,*
ビ	名詞,一般,*,*,*,*,*
ピ	名詞,一般,*,*,*,*,*
フ	名詞,一般,*,*,*,*,*
ブ	名詞,一般,*,*,*,*,*
プ	名詞,一般,*,*,*,*,*
ヘ	名詞,一般,*,*,*,*,*
マ	名詞,一般,*,*,*,*,*
ム	名詞,一般,*,*,*,*,*
メ	名詞,一般,*,*,*,*,*
モ	名詞,一般,*,*,*,*,*
ヴ	名詞,一般,*,*,*,*,*
ヶ	名詞,一般,*,*,*,*,*
ー	名詞,一般,*,*,*,*,*
働	名詞,一般,*,*,*,*,*
危	名詞,一般,*,*,*,*,*
受	名詞,一般,*,*,*,*,*
圧	名詞,一般,*,*,*,*,*
塞	名詞,一般,*,*,*,*,*
従	名詞,一般,*,*,*,*,*
応	名詞,一般,*,*,*,*,*
思	名詞,一般,*,*,*,*,*
担	名詞,一般,*,*,*,*,*
査	名詞,一般,*,*,*,*,*
演	名詞,一般,*,*,*,*,*
濤	名詞,一般,*,*,*,*,*
疫	名詞,一般,*,*,*,*,*
疲	名詞,一般,*,*,*,*,*
稼	名詞,一般,*,*,*,*,*
箋	名詞,一般,*,*,*,*,*
萓	名詞,一般,*,*,*,*,*
蒸	名詞,一般,*,*,*,*,*
裂	名詞,一般,*,*,*,*,*
違	名詞,一般,*,*,*,*,*
Ｋ	名詞,一般,*,*,*,*,*
Ｏ	名詞,一般,*,*,*,*,*
○	記号,一般,*,*,*,*,○,○,○
　	記号,空白,*,*,*,*,　,　,　
、	記号,読点,*,*,*,*,、,、,、
。	記号,句点,*,*,*,*,。,。,。
々	記号,一般,*,*,*,*,々,々,々
〜	記号,一般,*,*,*,*,〜,〜,〜
い	名詞,一般,*,*,*,*,い,イ,イ
こ	名詞,一般,*,*,*,*,こ,コ,コ
す	名詞,一般,*,*,*,*,す,ス,ス
に	助詞,特殊,*,*,*,*,に,ニ,ニ
ば	名詞,一般,*,*,*,*,ば,バ,バ
め	名詞,一般,*,*,*,*,め,メ,メ
ゆ	名詞,一般,*,*,*,*,ゆ,ユ,ユ
ら	名詞,一般,*,*,*,*,ら,ラ,ラ
ろ	名詞,一般,*,*,*,*,ろ,ロ,ロ
わ	名詞,一般,*,*,*,*,わ,ワ,ワ
ん	助詞,特殊,*,*,*,*,ん,ン,ン
゛	記号,一般,*,*,*,*,゛,゛,゛
ガ	名詞,一般,*,*,*,*,ガ,ガ,ガ
シ	名詞,一般,*,*,*,*,シ,シ,シ
セ	名詞,一般,*,*,*,*,セ,セ,セ
ソ	名詞,一般,*,*,*,*,ソ,ソ,ソ
ド	名詞,一般,*,*,*,*,ド,ド,ド
ノ	記号,一般,*,*,*,*,ノ,ノ,ノ
ペ	名詞,一般,*,*,*,*,ペ,ペ,ペ
ホ	名詞,一般,*,*,*,*,ホ,ホ,ホ
ポ	名詞,一般,*,*,*,*,ポ,ポ,ポ
ミ	名詞,一般,*,*,*,*,ミ,ミ,ミ
ラ	名詞,一般,*,*,*,*,ラ,ラ,ラ
レ	名詞,一般,*,*,*,*,レ,レ,レ
ロ	名詞,一般,*,*,*,*,ロ,ロ,ロ
・	記号,一般,*,*,*,*,・,・,・
世	名詞,一般,*,*,*,*,世,ヨ,ヨ
他	名詞,一般,*,*,*,*,他,タ,タ
個	名詞,一般,*,*,*,*,個,コ,コ
値	名詞,一般,*,*,*,*,値,ネ,ネ
具	名詞,一般,*,*,*,*,具,グ,グ
刃	名詞,一般,*,*,*,*,刃,ハ,ハ
区	名詞,一般,*,*,*,*,区,ク,ク
句	名詞,一般,*,*,*,*,句,ク,ク
可	名詞,一般,*,*,*,*,可,カ,カ
名	名詞,一般,*,*,*,*,名,ナ,ナ
和	名詞,一般,*,*,*,*,和,ワ,ワ
図	名詞,一般,*,*,*,*,図,ズ,ズ
土	名詞,一般,*,*,*,*,土,ド,ド
地	名詞,一般,*,*,*,*,地,チ,チ
場	名詞,一般,*,*,*,*,場,バ,バ
多	名詞,一般,*,*,*,*,多,タ,タ
子	名詞,一般,*,*,*,*,子,コ,コ
字	名詞,一般,*,*,*,*,字,ジ,ジ
季	名詞,一般,*,*,*,*,季,キ,キ
実	名詞,一般,*,*,*,*,実,ミ,ミ
屋	名詞,一般,*,*,*,*,屋,ヤ,ヤ
巣	名詞,一般,*,*,*,*,巣,ス,ス
差	名詞,一般,*,*,*,*,差,サ,サ
市	名詞,一般,*,*,*,*,市,シ,シ
師	名詞,一般,*,*,*,*,師,シ,シ
度	名詞,一般,*,*,*,*,度,ド,ド
座	名詞,一般,*,*,*,*,座,ザ,ザ
意	名詞,一般,*,*,*,*,意,イ,イ
愚	名詞,一般,*,*,*,*,愚,グ,グ
戸	名詞,一般,*,*,*,*,戸,ト,ト
手	名詞,一般,*,*,*,*,手,テ,テ
打	名詞,一般,*,*,*,*,打,ダ,ダ
斗	名詞,一般,*,*,*,*,斗,ト,ト
日	名詞,一般,*,*,*,*,日,ヒ,ヒ
木	名詞,一般,*,*,*,*,木,キ,キ
柄	名詞,一般,*,*,*,*,柄,エ,エ
根	名詞,一般,*,*,*,*,根,ネ,ネ
機	名詞,一般,*,*,*,*,機,キ,キ
歯	名詞,一般,*,*,*,*,歯,ハ,ハ
死	名詞,一般,*,*,*,*,死,シ,シ
毛	名詞,一般,*,*,*,*,毛,ケ,ケ
気	名詞,一般,*,*,*,*,気,キ,キ
派	名詞,一般,*,*,*,*,派,ハ,ハ
湯	名詞,一般,*,*,*,*,湯,ユ,ユ
瀬	名詞,一般,*,*,*,*,瀬,セ,セ
火	名詞,一般,*,*,*,*,火,ヒ,ヒ
無	名詞,一般,*,*,*,*,無,ム,ム
田	名詞,一般,*,*,*,*,田,タ,タ
目	名詞,一般,*,*,*,*,目,メ,メ
眼	名詞,一般,*,*,*,*,眼,メ,メ
矢	名詞,一般,*,*,*,*,矢,ヤ,ヤ
知	名詞,一般,*,*,*,*,知,チ,チ
碁	名詞,一般,*,*,*,*,碁,ゴ,ゴ
科	名詞,一般,*,*,*,*,科,カ,カ
穂	名詞,一般,*,*,*,*,穂,ホ,ホ
絵	名詞,一般,*,*,*,*,絵,エ,エ
美	名詞,一般,*,*,*,*,美,ビ,ビ
胃	名詞,一般,*,*,*,*,胃,イ,イ
背	名詞,一般,*,*,*,*,背,セ,セ
芽	名詞,一般,*,*,*,*,芽,メ,メ
苦	名詞,一般,*,*,*,*,苦,ク,ク
葉	名詞,一般,*,*,*,*,葉,ハ,ハ
血	名詞,一般,*,*,*,*,血,チ,チ
詩	名詞,一般,*,*,*,*,詩,シ,シ
課	名詞,一般,*,*,*,*,課,カ,カ
議	名詞,一般,*,*,*,*,議,ギ,ギ
身	名詞,一般,*,*,*,*,身,ミ,ミ
輪	名詞,一般,*,*,*,*,輪,ワ,ワ
途	名詞,一般,*,*,*,*,途,ト,ト
部	名詞,一般,*,*,*,*,部,ブ,ブ
都	名詞,一般,*,*,*,*,都,ト,ト
酢	名詞,一般,*,*,*,*,酢,ス,ス
野	名詞,一般,*,*,*,*,野,ノ,ノ
間	名詞,一般,*,*,*,*,間,マ,マ
陽	名詞,一般,*,*,*,*,陽,ヒ,ヒ
非	名詞,一般,*,*,*,*,非,ヒ,ヒ
飛	名詞,一般,*,*,*,*,飛,ヒ,ヒ
黄	名詞,一般,*,*,*,*,黄,キ,キ
！	記号,一般,*,*,*,*,！,！,！
＊	記号,一般,*,*,*,*,＊,＊,＊
，	記号,読点,*,*,*,*,，,，,，
．	記号,句点,*,*,*,*,．,．,．
／	記号,一般,*,*,*,*,／,／,／
：	記号,一般,*,*,*,*,：,：,：
＝	記号,一般,*,*,*,*,＝,＝,＝
？	記号,一般,*,*,*,*,？,？,？
−	記号,一般,*,*,*,*,−,ヒク,ヒク
万	副詞,一般,*,*,*,*,万,バン,バン
丈	名詞,一般,*,*,*,*,丈,タケ,タケ
上	名詞,一般,*,*,*,*,上,ウエ,ウエ
下	名詞,一般,*,*,*,*,下,シタ,シタ
丘	名詞,一般,*,*,*,*,丘,オカ,オカ
並	名詞,一般,*,*,*,*,並,ナミ,ナミ
中	名詞,一般,*,*,*,*,中,ナカ,ナカ
串	名詞,一般,*,*,*,*,串,クシ,クシ
丸	名詞,一般,*,*,*,*,丸,マル,マル
乳	名詞,一般,*,*,*,*,乳,チチ,チチ
亀	名詞,一般,*,*,*,*,亀,カメ,カメ
事	名詞,一般,*,*,*,*,事,コト,コト
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
代	名詞,一般,*,*,*,*,代,ダイ,ダイ
仮	名詞,一般,*,*,*,*,仮,カリ,カリ
仲	名詞,一般,*,*,*,*,仲,ナカ,ナカ
件	名詞,一般,*,*,*,*,件,ケン,ケン
会	名詞,一般,*,*,*,*,会,カイ,カイ
作	名詞,一般,*,*,*,*,作,サク,サク
例	名詞,一般,*,*,*,*,例,レイ,レイ
便	名詞,一般,*,*,*,*,便,ビン,ビン
倉	名詞,一般,*,*,*,*,倉,クラ,クラ
倍	名詞,一般,*,*,*,*,倍,バイ,バイ
側	名詞,一般,*,*,*,*,側,ガワ,ガワ
傘	名詞,一般,*,*,*,*,傘,カサ,カサ
傷	名詞,一般,*,*,*,*,傷,キズ,キズ
優	名詞,一般,*,*,*,*,優,ユウ,ユー
元	名詞,一般,*,*,*,*,元,モト,モト
兄	名詞,一般,*,*,*,*,兄,アニ,アニ
先	名詞,一般,*,*,*,*,先,サキ,サキ
免	名詞,一般,*,*,*,*,免,メン,メン
党	名詞,一般,*,*,*,*,党,トウ,トー
共	名詞,一般,*,*,*,*,共,トモ,トモ
典	名詞,一般,*,*,*,*,典,テン,テン
内	名詞,一般,*,*,*,*,内,ウチ,ウチ
円	名詞,一般,*,*,*,*,円,エン,エン
冊	名詞,一般,*,*,*,*,冊,サツ,サツ
冬	名詞,一般,*,*,*,*,冬,フユ,フユ
冷	名詞,一般,*,*,*,*,冷,ヒヤ,ヒヤ
列	名詞,一般,*,*,*,*,列,レツ,レツ
初	名詞,一般,*,*,*,*,初,ハツ,ハツ
判	名詞,一般,*,*,*,*,判,ハン,ハン
別	名詞,一般,*,*,*,*,別,ベツ,ベツ
券	名詞,一般,*,*,*,*,券,ケン,ケン
割	名詞,一般,*,*,*,*,割,ワリ,ワリ
劇	名詞,一般,*,*,*,*,劇,ゲキ,ゲキ
動	名詞,一般,*,*,*,*,動,ドウ,ドー
勘	名詞,一般,*,*,*,*,勘,カン,カン
北	名詞,一般,*,*,*,*,北,キタ,キタ
半	名詞,一般,*,*,*,*,半,ハン,ハン
単	名詞,一般,*,*,*,*,単,タン,タン
友	名詞,一般,*,*,*,*,友,トモ,トモ
口	名詞,一般,*,*,*,*,口,クチ,クチ
台	名詞,一般,*,*,*,*,台,ダイ,ダイ
右	名詞,一般,*,*,*,*,右,ミギ,ミギ
合	名詞,一般,*,*,*,*,合,ゴウ,ゴー
吉	名詞,一般,*,*,*,*,吉,キチ,キチ
味	名詞,一般,*,*,*,*,味,アジ,アジ
品	名詞,一般,*,*,*,*,品,シナ,シナ
員	名詞,一般,*,*,*,*,員,イン,イン
唐	名詞,一般,*,*,*,*,唐,トウ,トー
嘘	名詞,一般,*,*,*,*,嘘,ウソ,ウソ
回	名詞,一般,*,*,*,*,回,カイ,カイ
国	名詞,一般,*,*,*,*,国,クニ,クニ
園	名詞,一般,*,*,*,*,園,エン,エン
坂	名詞,一般,*,*,*,*,坂,サカ,サカ
坊	名詞,一般,*,*,*,*,坊,ボウ,ボー
坪	名詞,一般,*,*,*,*,坪,ツボ,ツボ
型	名詞,一般,*,*,*,*,型,カタ,カタ
城	名詞,一般,*,*,*,*,城,シロ,シロ
域	名詞,一般,*,*,*,*,域,イキ,イキ
基	名詞,一般,*,*,*,*,基,モト,モト
堂	名詞,一般,*,*,*,*,堂,ドウ,ドー
堅	名詞,一般,*,*,*,*,堅,ケン,ケン
塀	名詞,一般,*,*,*,*,塀,ヘイ,ヘイ
塔	名詞,一般,*,*,*,*,塔,トウ,トー
塩	名詞,一般,*,*,*,*,塩,シオ,シオ
墓	名詞,一般,*,*,*,*,墓,ハカ,ハカ
墨	名詞,一般,*,*,*,*,墨,スミ,スミ
壁	名詞,一般,*,*,*,*,壁,カベ,カベ
声	名詞,一般,*,*,*,*,声,コエ,コエ
変	名詞,一般,*,*,*,*,変,ヘン,ヘン
夏	名詞,一般,*,*,*,*,夏,ナツ,ナツ
外	名詞,一般,*,*,*,*,外,ソト,ソト
夢	名詞,一般,*,*,*,*,夢,ユメ,ユメ
大	名詞,一般,*,*,*,*,大,ダイ,ダイ
天	名詞,一般,*,*,*,*,天,テン,テン
奥	名詞,一般,*,*,*,*,奥,オク,オク
妻	名詞,一般,*,*,*,*,妻,ツマ,ツマ
姉	名詞,一般,*,*,*,*,姉,アネ,アネ
姓	名詞,一般,*,*,*,*,姓,セイ,セイ
姫	名詞,一般,*,*,*,*,姫,ヒメ,ヒメ
婆	名詞,一般,*,*,*,*,婆,ババ,ババ
婚	名詞,一般,*,*,*,*,婚,コン,コン
婿	名詞,一般,*,*,*,*,婿,ムコ,ムコ
嫁	名詞,一般,*,*,*,*,嫁,ヨメ,ヨメ
学	名詞,一般,*,*,*,*,学,ガク,ガク
孫	名詞,一般,*,*,*,*,孫,マゴ,マゴ
宅	名詞,一般,*,*,*,*,宅,タク,タク
安	名詞,一般,*,*,*,*,安,ヤス,ヤス
宗	名詞,一般,*,*,*,*,宗,ムネ,ムネ
宮	名詞,一般,*,*,*,*,宮,ミヤ,ミヤ
害	名詞,一般,*,*,*,*,害,ガイ,ガイ
家	名詞,一般,*,*,*,*,家,イエ,イエ
宿	名詞,一般,*,*,*,*,宿,ヤド,ヤド
寒	名詞,一般,*,*,*,*,寒,カン,カン
寺	名詞,一般,*,*,*,*,寺,テラ,テラ
封	名詞,一般,*,*,*,*,封,フウ,フー
尻	名詞,一般,*,*,*,*,尻,シリ,シリ
層	名詞,一般,*,*,*,*,層,ソウ,ソー
山	名詞,一般,*,*,*,*,山,ヤマ,ヤマ
岩	名詞,一般,*,*,*,*,岩,イワ,イワ
島	名詞,一般,*,*,*,*,島,シマ,シマ
川	名詞,一般,*,*,*,*,川,カワ,カワ
工	名詞,一般,*,*,*,*,工,コウ,コー
巻	名詞,一般,*,*,*,*,巻,マキ,マキ
布	名詞,一般,*,*,*,*,布,ヌノ,ヌノ
席	名詞,一般,*,*,*,*,席,セキ,セキ
帯	名詞,一般,*,*,*,*,帯,オビ,オビ
幅	名詞,一般,*,*,*,*,幅,ハバ,ハバ
幌	名詞,一般,*,*,*,*,幌,ホロ,ホロ
幕	名詞,一般,*,*,*,*,幕,マク,マク
年	名詞,一般,*,*,*,*,年,トシ,トシ
幹	名詞,一般,*,*,*,*,幹,ミキ,ミキ
床	名詞,一般,*,*,*,*,床,ユカ,ユカ
底	名詞,一般,*,*,*,*,底,ソコ,ソコ
店	名詞,一般,*,*,*,*,店,ミセ,ミセ
庭	名詞,一般,*,*,*,*,庭,ニワ,ニワ
庵	名詞,一般,*,*,*,*,庵,アン,アン
建	名詞,一般,*,*,*,*,建,ケン,ケン
弁	名詞,一般,*,*,*,*,弁,ベン,ベン
式	名詞,一般,*,*,*,*,式,シキ,シキ
影	名詞,一般,*,*,*,*,影,カゲ,カゲ
役	名詞,一般,*,*,*,*,役,ヤク,ヤク
待	名詞,一般,*,*,*,*,待,マチ,マチ
得	名詞,一般,*,*,*,*,得,トク,トク
徳	名詞,一般,*,*,*,*,徳,トク,トク
念	名詞,一般,*,*,*,*,念,ネン,ネン
性	名詞,一般,*,*,*,*,性,セイ,セイ
恋	名詞,一般,*,*,*,*,恋,コイ,コイ
悪	名詞,一般,*,*,*,*,悪,アク,アク
愛	名詞,一般,*,*,*,*,愛,アイ,アイ
感	名詞,一般,*,*,*,*,感,カン,カン
懇	名詞,一般,*,*,*,*,懇,コン,コン
戌	名詞,一般,*,*,*,*,戌,イヌ,イヌ
我	名詞,一般,*,*,*,*,我,ワガ,ワガ
技	名詞,一般,*,*,*,*,技,ワザ,ワザ
指	名詞,一般,*,*,*,*,指,ユビ,ユビ
損	名詞,一般,*,*,*,*,損,ソン,ソン
数	名詞,一般,*,*,*,*,数,カズ,カズ
文	名詞,一般,*,*,*,*,文,ブン,ブン
新	名詞,一般,*,*,*,*,新,シン,シン
方	名詞,一般,*,*,*,*,方,カタ,カタ
早	名詞,一般,*,*,*,*,早,ハヤ,ハヤ
星	名詞,一般,*,*,*,*,星,ホシ,ホシ
春	名詞,一般,*,*,*,*,春,ハル,ハル
晩	名詞,一般,*,*,*,*,晩,バン,バン
暇	名詞,一般,*,*,*,*,暇,ヒマ,ヒマ
暮	名詞,一般,*,*,*,*,暮,クレ,クレ
書	名詞,一般,*,*,*,*,書,ショ,ショ
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
服	名詞,一般,*,*,*,*,服,フク,フク
本	名詞,一般,*,*,*,*,本,ホン,ホン
札	名詞,一般,*,*,*,*,札,サツ,サツ
杉	名詞,一般,*,*,*,*,杉,スギ,スギ
村	名詞,一般,*,*,*,*,村,ムラ,ムラ
杖	名詞,一般,*,*,*,*,杖,ツエ,ツエ
束	名詞,一般,*,*,*,*,束,タバ,タバ
杯	名詞,一般,*,*,*,*,杯,ハイ,ハイ
松	名詞,一般,*,*,*,*,松,マツ,マツ
板	名詞,一般,*,*,*,*,板,イタ,イタ
枝	名詞,一般,*,*,*,*,枝,エダ,エダ
枠	名詞,一般,*,*,*,*,枠,ワク,ワク
柿	名詞,一般,*,*,*,*,柿,カキ,カキ
栗	名詞,一般,*,*,*,*,栗,クリ,クリ
校	名詞,一般,*,*,*,*,校,コウ,コー
株	名詞,一般,*,*,*,*,株,カブ,カブ
核	名詞,一般,*,*,*,*,核,カク,カク
格	名詞,一般,*,*,*,*,格,カク,カク
桃	名詞,一般,*,*,*,*,桃,モモ,モモ
案	名詞,一般,*,*,*,*,案,アン,アン
桐	名詞,一般,*,*,*,*,桐,キリ,キリ
梅	名詞,一般,*,*,*,*,梅,ウメ,ウメ
棒	名詞,一般,*,*,*,*,棒,ボウ,ボー
棚	名詞,一般,*,*,*,*,棚,タナ,タナ
棟	名詞,一般,*,*,*,*,棟,ムネ,ムネ
森	名詞,一般,*,*,*,*,森,モリ,モリ
棺	名詞,一般,*,*,*,*,棺,カン,カン
業	名詞,一般,*,*,*,*,業,ゴウ,ゴー
横	名詞,一般,*,*,*,*,横,ヨコ,ヨコ
樽	名詞,一般,*,*,*,*,樽,タル,タル
橋	名詞,一般,*,*,*,*,橋,ハシ,ハシ
櫛	名詞,一般,*,*,*,*,櫛,クシ,クシ
欄	名詞,一般,*,*,*,*,欄,ラン,ラン
欠	名詞,一般,*,*,*,*,欠,ケツ,ケツ
次	名詞,一般,*,*,*,*,次,ツギ,ツギ
欲	名詞,一般,*,*,*,*,欲,ヨク,ヨク
歌	名詞,一般,*,*,*,*,歌,ウタ,ウタ
止	名詞,一般,*,*,*,*,止,トメ,トメ
